date,source,header,summary,llink ,category,timeline
22/12/2021,Yahoo Finance,Stock market news live updates: Stock futures open little changed,"Stock futures opened flat Tuesday evening after a recovery rally during the regular trading day, with the major equity indexes recouping some losses after three consecutive sessions of declines.",https://sg.finance.yahoo.com/news/stock-market-news-live-updates-december-22-2021-231551382.html,Business,46 minutes ago
22/12/2021,Yahoo Finance,Economic and racial inequalities are ‘long haul’ issues for the Federal Reserve,"Spoken poetry and collage art are not often associated with the central bank, but the Cleveland Fed turned to local artists to highlight the need for researching economic disparities in the U.S.",https://sg.finance.yahoo.com/news/economic-and-racial-inequalities-are-long-haul-issues-for-the-federal-reserve-220405947.html,Science,2 hours ago
22/12/2021,Yahoo Finance,The 'huge year' for space investing expected to continue into 2022,"This year's historic momentum in space tourism, is expected to continue well into 2022 and beyond.
""We had thirteen human space flight missions, three private companies had milestone historic missions,"" said Chad Anderson managing partner at Space Capital, a seed venture capital firm.",https://sg.finance.yahoo.com/news/the-huge-year-for-space-investing-expected-to-continue-into-2022-215906995.html,Entertainment,2 hours ago
22/12/2021,AFP News,"Beyonce, Jay-Z and Grande in Oscars race as shortlists unveiled","Beyonce, Jay-Z and Ariane Grande are all in the running for the best original song Oscar, but French shock-fest ""Titane"" did not make the shortlist for best foreign film, as the Academy unveiled its annual shortlists Tuesday ahead of the formal nominations.",https://sg.finance.yahoo.com/news/beyonce-jay-z-grande-oscars-212533214.html,Business,3 hours ago
22/12/2021,Yahoo Finance,"Stock market news live updates: Stocks jump after three-day drop; Dow rises more than 500 points, or 1.6%","Markets staged a comeback on Tuesday, with all three major averages up more than 1% as investors weighed news of federal involvement to mitigate Omicron and imminent authorization of an at-home Covid-19 treatment.",https://sg.finance.yahoo.com/news/stock-market-news-live-updates-december-21-2021-233637147.html,Business,3 hours ago
22/12/2021,Yahoo Finance,Rite Aid is closing more stores during COVID — here's how many stores have been closed,Rite-Aid is further curtailing its store base to juice profit margins.,https://sg.finance.yahoo.com/news/rite-aid-is-closing-more-stores-during-covid-heres-how-many-stores-have-been-closed-190848983.html,Business,5 hours ago
22/12/2021,FX Empire,"Jack Dorsey and Elon Musk, Questions Web 3 Project Funding","Former Twitter CEO, Jack Dorsey, has raised questions about the funding source for many of the current web3 projects.",https://sg.finance.yahoo.com/news/jack-dorsey-elon-musk-questions-184238524.html,Business,5 hours ago
22/12/2021,FX Empire,E-mini S&P 500 Index (ES) Futures Technical Analysis – Next Big Challenge for Bulls is 4631.75 – 4658.00,The direction of the March E-mini S&P 500 Index over the short-run is likely to be determined by trader reaction to 4631.75 to 4658.00.,https://sg.finance.yahoo.com/news/e-mini-p-500-index-182328250.html,Business,6 hours ago
22/12/2021,Yahoo Finance,Novavax CEO: 'We will be filing within the next few days' with FDA,"Novavax has hit several stumbling blocks along the way, but the company has recently achieved several important milestones and could submit for emergency use in the U.S. in coming days.",https://sg.finance.yahoo.com/news/novavax-ceo-we-will-be-filing-within-the-next-few-days-with-fda-180341062.html,Business,6 hours ago
22/12/2021,Yahoo Finance,Former United Airlines CEO on traveling during COVID-19 pandemic: It's airlines' jobs to keep you safe,Archer board member and former United Airlines CEO Oscar Munoz weighs in on the state of the aviation industry and the progress over at EVTOL player Archer.,https://sg.finance.yahoo.com/news/former-united-airlines-ceo-on-traveling-during-covid-19-pandemic-its-our-job-to-keep-you-safe-175216859.html,Business,6 hours ago
